bmi.csv
Gender,Height,Weight,Index,Game,,,,
Male,174,96,4,Soccer (Football),,,,
Male,189,87,2,Cricket,,,,
Female,185,110,4,Basketball,,,,
Female,195,104,3,Rugby,,,,
Male,149,61,3,Baseball,,,,
Male,189,104,3,Volleyball,,,,
Male,147,92,5,Field Hockey,,,,
Male,154,111,5,American Football,,,,
Male,174,90,3,Ultimate Frisbee,,,,
Female,169,103,4,Kickball,,,,
Male,195,81,2,Tennis,,,,
Female,159,80,4,Badminton,,,,
Female,192,101,3,Squash,,,,
Male,155,51,2,Pickleball,,,,
Male,191,79,2,Paddle Tennis,,,,
Female,153,107,5,Racquetball,,,,
Female,157,110,5,Table Tennis (outdoor),,,,
Male,140,129,5,Rock Climbing,,,,
Male,144,145,5,Mountaineering,,,,
Male,172,139,5,Bouldering,,,,
Male,157,110,5,Hang Gliding,,,,
Female,153,149,5,Paragliding,,,,
Female,169,97,4,Kite Surfing,,,,
Male,185,139,5,Skydiving,,,,
Female,172,67,2,Scuba Diving,,,,
Female,151,64,3,Snorkeling,,,,
Male,190,95,3,White Water Rafting,,,,
Male,187,62,1,Sprinting,,,,
Female,163,159,5,Marathon,,,,
Male,179,152,5,High Jump,,,,
Male,153,121,5,Long Jump,,,,
Male,178,52,1,Pole Vault,,,,
Female,195,65,1,Shot Put,,,,
Female,160,131,5,Discus Throw,,,,
Female,157,153,5,Javelin Throw,,,,
Female,189,132,4,Hurdles,,,,
Female,197,114,3,Steeplechase,,,,
Male,144,80,4,Swimming (Open Water),,,,
Female,171,152,5,Rowing,,,,
Female,185,81,2,Kayaking,,,,
Female,175,120,4,Canoeing,,,,
Female,149,108,5,Surfing,,,,
Male,157,56,2,Paddleboarding,,,,
Male,161,118,5,Sailing,,,,
Female,182,126,4,Windsurfing,,,,
Male,185,76,2,Jet Skiing,,,,
Female,188,122,4,Wakeboarding,,,,
Male,181,111,4,Wrestling,,,,
Male,161,72,3,Judo,,,,
Male,140,152,5,Karate,,,,
Female,168,135,5,Taekwondo,,,,
Female,176,54,1,Boxing,,,,
Male,163,110,5,Fencing,,,,
Male,172,105,4,Archery,,,,
Male,196,116,4,Paintball,,,,
Female,187,89,3,Airsoft,,,,
Male,172,92,4,Self-defense Drills,,,,
Male,178,127,5,Skiing,,,,
Female,164,70,3,Snowboarding,,,,
Male,143,88,5,Ice Hockey,,,,
Female,191,54,0,Curling,,,,
Female,141,143,5,Ice Skating,,,,
Male,193,54,0,Sledding,,,,
Male,190,83,2,Snowshoeing,,,,
Male,175,135,5,Ice Climbing,,,,
Female,179,158,5,Road Cycling,,,,
Female,172,96,4,Mountain Biking,,,,
Female,168,59,2,BMX,,,,
Female,164,82,4,Dirt Biking,,,,
Female,194,136,4,Rally Racing,,,,
Female,153,51,2,Off-Road Driving,,,,
Male,178,117,4,Go-Kart Racing,,,,
Male,141,80,5,Motocross,,,,
Male,180,75,2,Speedway Racing,,,,
Female,185,100,3,Kabaddi,,,,
Female,197,154,4,Sepak Takraw,,,,
Male,165,104,4,Bullfighting,,,,
Female,168,90,4,Hurling,,,,
Female,176,122,4,Lacrosse,,,,
Male,181,51,0,Pelota,,,,
Male,164,75,3,Shinty,,,,
Female,166,140,5,Pétanque,,,,
Female,190,105,3,Bocce Ball,,,,
Male,186,118,4,Gilli Danda,,,,
Male,168,123,5,Golf,,,,
Male,198,50,0,Mini Golf,,,,
Female,175,141,5,Disc Golf,,,,
Male,145,117,5,Skeet Shooting,,,,
Female,159,104,5,Bowls (Lawn Bowling),,,,
Female,185,140,5,Darts,,,,
Female,178,154,5,Horseshoes,,,,
Female,183,96,3,Cornhole,,,,
Female,194,111,3,Axe Throwing,,,,
Male,177,61,2,Slingshot Shooting,,,,
